fsid,ns_birthplace,parish_search,latitude,longitude,country_API,county_API
GHFN-KMD,finnäs norsjö ac sweden,NORSJÖ,64.92789189999999,19.3756215,Sweden,Västerbotten County
GHFN-NX3,maurliden norsjö ac sweden,NORSJÖ,65.0539336,19.5329203,Sweden,Västerbotten County
GHFN-RDR,tavelsjö umeå västerbotten sweden,UMEÅ LANDS,64.03699259999999,20.0478102,Sweden,Västerbotten County
GHFN-TXC,abborrtjärn degerfors vindeln västerbottens sweden,VINDELN,None,None,None,
GHFN-TXR,fabodliden lycksele västerbotten sweden,LYCKSELE,64.60283,17.9842201,Sweden,Västerbotten County
GHFP-N48,tallträsk by i lycksele församling sweden,LYCKSELE,64.5984294,18.6755908,Sweden,Västerbottens län
GHFR-8DD,nordanbäck nordmaling västerbotten sweden,NORDMALING,63.73526580000001,19.2934537,Sweden,Västerbotten County
GHFT-KGK,bastuträsk stensele västerbottens län sweden,STENSELE,None,None,None,
GHFT-Q1F,lycksele lappland sverige,LYCKSELE,64.59129279999999,18.688961,Sweden,Västerbottens län
GHFT-XN5,gunnarn stensele västerbotten sverige,STENSELE,None,None,None,
GHFT-YSG,norsjö norsjö västerbottens sweden,NORSJÖ,64.9135093,19.4826413,Sweden,Västerbotten County
GHFV-W1Q,vänjaurträsk lycksele ac sweden,LYCKSELE,64.2941563,18.6388908,Sweden,Västerbotten County
GHFY-MGD,sjulsmark bygdeå ac sweden,BYGDEÅ,64.0590498,20.8544517,Sweden,Västerbotten County
GHGF-7JW,mjösjö västerbotten sweden,Not identified,63.94999999999999,19.5666669,Sweden,Västerbotten County
GHH2-H6G,kittelfjäll vilhelmina västerbotten sweden,VILHELMINA,65.25388,15.4875799,Sweden,Västerbotten County
